id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,1075375,771,3,1276,989,864.0,504.0,1.0224659442901611,0.9873291850090027,0,0,2048,1536
1,80147,645,420,592,341,928.0,744.0,1.005210280418396,0.9684934020042419,0,0,2048,1536
2,10610,857,880,206,53,928.0,888.0,0.9997164607048035,0.9766641855239868,0,0,2048,1536
3,11773,912,758,97,123,992.0,840.0,0.9846256375312805,0.9913814663887024,0,0,2048,1536
4,39083,630,0,459,165,864.0,120.0,0.9841251373291016,0.9843837022781372,0,0,2048,1536
5,29360,867,563,162,199,928.0,744.0,0.9828550815582275,0.9856901168823242,0,0,2048,1536
6,29711,0,929,853,104,800.0,936.0,0.9768313765525818,0.9710731506347656,0,0,2048,1536
7,133062,646,419,591,614,1056.0,552.0,0.9635661840438843,0.972760021686554,0,0,2048,1536
8,4728,698,468,84,61,736.0,504.0,0.9594643115997314,0.9722164273262024,0,0,2048,1536
9,8247,703,443,480,26,992.0,456.0,0.951607882976532,0.9565475583076477,0,0,2048,1536
10,23454,785,459,402,65,928.0,504.0,0.9415306448936462,0.964410126209259,0,0,2048,1536
11,18947,767,954,383,80,1120.0,1032.0,0.936478316783905,0.9607061743736267,0,0,2048,1536
12,40876,766,880,384,154,800.0,1032.0,0.929084062576294,0.9803304076194763,0,0,2048,1536
13,2060,928,675,50,50,928.0,696.0,0.9082375168800354,0.9698420166969299,0,0,2048,1536
14,1129772,0,930,2047,601,160.0,984.0,1.0694814920425415,0.9930930137634277,0,0,2048,1536
15,712605,0,4,791,982,32.0,792.0,1.0131757259368896,0.9907142519950867,0,0,2048,1536
16,40307,627,0,463,257,800.0,168.0,0.9702811241149902,0.9626152515411377,0,0,2048,1536
17,21706,858,879,207,110,992.0,888.0,0.9281213283538818,0.9512844681739807,0,0,2048,1536
